Date,DXY,SP500,OIL,INTEREST_RATE,CPI
2004-01-05,86.06999969482422,1122.219970703125,33.779998779296875,1.0,186.3
2004-01-06,85.62999725341797,1123.6700439453125,33.70000076293945,1.0,186.3
2004-01-07,86.19999694824219,1126.3299560546875,33.619998931884766,1.0,186.3
2004-01-08,85.56999969482422,1131.9200439453125,33.97999954223633,1.0,186.3
2004-01-09,85.11000061035156,1121.8599853515625,34.310001373291016,1.0,186.3
2004-01-10,85.11000061035156,1121.8599853515625,34.310001373291016,1.0,186.3
2004-01-11,85.11000061035156,1121.8599853515625,34.310001373291016,1.0,186.3
2004-01-12,85.55000305175781,1127.22998046875,34.720001220703125,1.0,186.3
2004-01-13,85.51000213623047,1121.219970703125,34.43000030517578,1.0,186.3
2004-01-14,86.02999877929688,1130.52001953125,34.5,1.0,186.3
2004-01-15,86.55999755859375,1132.050048828125,33.439998626708984,1.0,186.3
2004-01-16,87.7300033569336,1139.8299560546875,35.06999969482422,1.0,186.3
2004-01-17,87.7300033569336,1139.8299560546875,35.06999969482422,1.0,186.3
2004-01-18,87.7300033569336,1139.8299560546875,35.06999969482422,1.0,186.3
2004-01-19,87.66000366210938,1139.8299560546875,35.06999969482422,1.0,186.3
2004-01-20,86.70999908447266,1138.77001953125,36.20000076293945,1.0,186.3
2004-01-21,86.36000061035156,1147.6199951171875,34.58000183105469,1.0,186.3
2004-01-22,85.81999969482422,1143.93994140625,34.93000030517578,1.0,186.3
2004-01-23,86.55999755859375,1141.550048828125,34.939998626708984,1.0,186.3
2004-01-24,86.55999755859375,1141.550048828125,34.939998626708984,1.0,186.3
2004-01-25,86.55999755859375,1141.550048828125,34.939998626708984,1.0,186.3
2004-01-26,87.25,1155.3699951171875,34.470001220703125,1.0,186.3
2004-01-27,86.27999877929688,1144.050048828125,34.119998931884766,1.0,186.3
2004-01-28,86.97000122070312,1128.47998046875,33.619998931884766,1.0,186.3
2004-01-29,87.58000183105469,1134.1099853515625,32.810001373291016,1.0,186.3
2004-01-30,87.19999694824219,1131.1300048828125,33.04999923706055,1.0,186.3
2004-01-31,87.19999694824219,1131.1300048828125,33.04999923706055,1.0,186.3
2004-02-01,87.19999694824219,1131.1300048828125,33.04999923706055,1.01,186.7
2004-02-02,87.52999877929688,1135.260009765625,34.97999954223633,1.01,186.7
2004-02-03,86.79000091552734,1136.030029296875,34.099998474121094,1.01,186.7
2004-02-04,86.83999633789062,1126.52001953125,33.099998474121094,1.01,186.7
2004-02-05,86.9000015258789,1128.5899658203125,33.08000183105469,1.01,186.7
2004-02-06,86.0199966430664,1142.760009765625,32.47999954223633,1.01,186.7
2004-02-07,86.0199966430664,1142.760009765625,32.47999954223633,1.01,186.7
2004-02-08,86.0199966430664,1142.760009765625,32.47999954223633,1.01,186.7
2004-02-09,86.0,1139.81005859375,32.83000183105469,1.01,186.7
2004-02-10,85.83999633789062,1145.5400390625,33.869998931884766,1.01,186.7
2004-02-11,85.19999694824219,1157.760009765625,34.0,1.01,186.7
2004-02-12,85.29000091552734,1152.1099853515625,33.97999954223633,1.01,186.7
2004-02-13,85.55999755859375,1145.81005859375,34.560001373291016,1.01,186.7
2004-02-14,85.55999755859375,1145.81005859375,34.560001373291016,1.01,186.7
2004-02-15,85.55999755859375,1145.81005859375,34.560001373291016,1.01,186.7
2004-02-16,85.47000122070312,1145.81005859375,34.560001373291016,1.01,186.7
2004-02-17,85.0199966430664,1156.989990234375,35.15999984741211,1.01,186.7
2004-02-18,85.87999725341797,1151.8199462890625,35.45000076293945,1.01,186.7
2004-02-19,85.94999694824219,1147.06005859375,36.0,1.01,186.7
2004-02-20,87.23999786376953,1144.1099853515625,35.599998474121094,1.01,186.7
2004-02-21,87.23999786376953,1144.1099853515625,35.599998474121094,1.01,186.7
2004-02-22,87.23999786376953,1144.1099853515625,35.599998474121094,1.01,186.7
2004-02-23,87.04000091552734,1140.989990234375,34.349998474121094,1.01,186.7
2004-02-24,86.13999938964844,1139.0899658203125,34.58000183105469,1.01,186.7
2004-02-25,87.25,1143.6700439453125,35.68000030517578,1.01,186.7
2004-02-26,87.68000030517578,1144.9100341796875,35.5099983215332,1.01,186.7
2004-02-27,87.30999755859375,1144.93994140625,36.15999984741211,1.01,186.7
2004-02-28,87.30999755859375,1144.93994140625,36.15999984741211,1.01,186.7
2004-02-29,87.30999755859375,1144.93994140625,36.15999984741211,1.01,186.7
2004-03-01,87.5199966430664,1155.969970703125,36.86000061035156,1.0,187.1
2004-03-02,88.83000183105469,1149.0999755859375,36.65999984741211,1.0,187.1
2004-03-03,89.02999877929688,1151.030029296875,35.79999923706055,1.0,187.1
2004-03-04,89.13999938964844,1154.8699951171875,36.63999938964844,1.0,187.1
2004-03-05,88.18000030517578,1156.8599853515625,37.2599983215332,1.0,187.1
2004-03-06,88.18000030517578,1156.8599853515625,37.2599983215332,1.0,187.1
2004-03-07,88.18000030517578,1156.8599853515625,37.2599983215332,1.0,187.1
2004-03-08,88.0,1147.199951171875,36.56999969482422,1.0,187.1
2004-03-09,88.29000091552734,1140.5799560546875,36.279998779296875,1.0,187.1
2004-03-10,88.94999694824219,1123.8900146484375,36.099998474121094,1.0,187.1
2004-03-11,88.51000213623047,1106.780029296875,36.779998779296875,1.0,187.1
2004-03-12,89.12000274658203,1120.5699462890625,36.189998626708984,1.0,187.1
2004-03-13,89.12000274658203,1120.5699462890625,36.189998626708984,1.0,187.1
2004-03-14,89.12000274658203,1120.5699462890625,36.189998626708984,1.0,187.1
2004-03-15,88.80999755859375,1104.489990234375,37.439998626708984,1.0,187.1
2004-03-16,88.58999633789062,1110.699951171875,37.47999954223633,1.0,187.1
2004-03-17,88.6500015258789,1123.75,38.18000030517578,1.0,187.1
2004-03-18,87.69999694824219,1122.3199462890625,37.93000030517578,1.0,187.1
2004-03-19,88.16000366210938,1109.780029296875,38.08000183105469,1.0,187.1
2004-03-20,88.16000366210938,1109.780029296875,38.08000183105469,1.0,187.1
2004-03-21,88.16000366210938,1109.780029296875,38.08000183105469,1.0,187.1
2004-03-22,87.80999755859375,1095.4000244140625,37.11000061035156,1.0,187.1
2004-03-23,87.8499984741211,1093.949951171875,37.45000076293945,1.0,187.1
2004-03-24,88.93000030517578,1091.3299560546875,37.0099983215332,1.0,187.1
2004-03-25,88.9000015258789,1109.18994140625,35.5099983215332,1.0,187.1
2004-03-26,88.88999938964844,1108.06005859375,35.72999954223633,1.0,187.1
2004-03-27,88.88999938964844,1108.06005859375,35.72999954223633,1.0,187.1
2004-03-28,88.88999938964844,1108.06005859375,35.72999954223633,1.0,187.1
2004-03-29,88.62999725341797,1122.469970703125,35.45000076293945,1.0,187.1
2004-03-30,88.43000030517578,1127.0,36.25,1.0,187.1
2004-03-31,87.61000061035156,1126.2099609375,35.7599983215332,1.0,187.1
2004-04-01,87.20999908447266,1132.1700439453125,34.27000045776367,1.0,187.4
2004-04-02,88.51000213623047,1141.81005859375,34.38999938964844,1.0,187.4
2004-04-03,88.51000213623047,1141.81005859375,34.38999938964844,1.0,187.4
2004-04-04,88.51000213623047,1141.81005859375,34.38999938964844,1.0,187.4
2004-04-05,89.22000122070312,1150.5699462890625,34.380001068115234,1.0,187.4
2004-04-06,88.75,1148.1600341796875,34.970001220703125,1.0,187.4
2004-04-07,88.2699966430664,1140.530029296875,36.150001525878906,1.0,187.4
2004-04-08,89.0199966430664,1139.3199462890625,37.13999938964844,1.0,187.4
2004-04-09,89.0199966430664,1139.3199462890625,37.13999938964844,1.0,187.4
2004-04-10,89.0199966430664,1139.3199462890625,37.13999938964844,1.0,187.4
2004-04-11,89.0199966430664,1139.3199462890625,37.13999938964844,1.0,187.4
2004-04-12,88.94999694824219,1145.199951171875,37.84000015258789,1.0,187.4
2004-04-13,89.83000183105469,1129.43994140625,37.209999084472656,1.0,187.4
2004-04-14,90.23999786376953,1128.1700439453125,36.720001220703125,1.0,187.4
2004-04-15,90.05999755859375,1128.8399658203125,37.56999969482422,1.0,187.4
2004-04-16,89.94000244140625,1134.6099853515625,37.7400016784668,1.0,187.4
2004-04-17,89.94000244140625,1134.6099853515625,37.7400016784668,1.0,187.4
2004-04-18,89.94000244140625,1134.6099853515625,37.7400016784668,1.0,187.4
2004-04-19,89.80000305175781,1135.8199462890625,37.41999816894531,1.0,187.4
2004-04-20,90.48999786376953,1118.1500244140625,37.599998474121094,1.0,187.4
2004-04-21,91.12000274658203,1124.0899658203125,35.72999954223633,1.0,187.4
2004-04-22,90.81999969482422,1139.9300537109375,36.709999084472656,1.0,187.4
2004-04-23,91.08000183105469,1140.5999755859375,36.459999084472656,1.0,187.4
2004-04-24,91.08000183105469,1140.5999755859375,36.459999084472656,1.0,187.4
2004-04-25,91.08000183105469,1140.5999755859375,36.459999084472656,1.0,187.4
2004-04-26,90.62000274658203,1135.530029296875,36.970001220703125,1.0,187.4
2004-04-27,90.41000366210938,1138.1099853515625,37.529998779296875,1.0,187.4
2004-04-28,91.16999816894531,1122.4100341796875,37.459999084472656,1.0,187.4
2004-04-29,90.56999969482422,1113.8900146484375,37.310001373291016,1.0,187.4
2004-04-30,90.4800033569336,1107.300048828125,37.380001068115234,1.0,187.4
2004-05-01,90.4800033569336,1107.300048828125,37.380001068115234,1.0,188.2
2004-05-02,90.4800033569336,1107.300048828125,37.380001068115234,1.0,188.2
2004-05-03,90.76000213623047,1117.489990234375,38.209999084472656,1.0,188.2
2004-05-04,89.80999755859375,1119.550048828125,38.97999954223633,1.0,188.2
2004-05-05,89.30999755859375,1121.530029296875,39.56999969482422,1.0,188.2
2004-05-06,89.87999725341797,1113.989990234375,39.369998931884766,1.0,188.2
2004-05-07,91.12999725341797,1098.699951171875,39.93000030517578,1.0,188.2
2004-05-08,91.12999725341797,1098.699951171875,39.93000030517578,1.0,188.2
2004-05-09,91.12999725341797,1098.699951171875,39.93000030517578,1.0,188.2
2004-05-10,91.55999755859375,1087.1199951171875,38.93000030517578,1.0,188.2
2004-05-11,91.66000366210938,1095.449951171875,40.060001373291016,1.0,188.2
2004-05-12,91.29000091552734,1097.280029296875,40.77000045776367,1.0,188.2
2004-05-13,91.95999908447266,1096.43994140625,41.08000183105469,1.0,188.2
2004-05-14,91.66000366210938,1095.699951171875,41.380001068115234,1.0,188.2
2004-05-15,91.66000366210938,1095.699951171875,41.380001068115234,1.0,188.2
2004-05-16,91.66000366210938,1095.699951171875,41.380001068115234,1.0,188.2
2004-05-17,91.0,1084.0999755859375,41.54999923706055,1.0,188.2
2004-05-18,91.25,1091.489990234375,40.540000915527344,1.0,188.2
2004-05-19,90.52999877929688,1088.6800537109375,41.5,1.0,188.2
2004-05-20,91.02999877929688,1089.18994140625,40.91999816894531,1.0,188.2
2004-05-21,90.48999786376953,1093.56005859375,39.93000030517578,1.0,188.2
2004-05-22,90.48999786376953,1093.56005859375,39.93000030517578,1.0,188.2
2004-05-23,90.48999786376953,1093.56005859375,39.93000030517578,1.0,188.2
2004-05-24,90.4800033569336,1095.4100341796875,41.720001220703125,1.0,188.2
2004-05-25,89.83999633789062,1113.050048828125,41.13999938964844,1.0,188.2
2004-05-26,89.72000122070312,1114.93994140625,40.70000076293945,1.0,188.2
2004-05-27,88.66999816894531,1121.280029296875,39.439998626708984,1.0,188.2
2004-05-28,88.94999694824219,1120.6800537109375,39.880001068115234,1.0,188.2
2004-05-29,88.94999694824219,1120.6800537109375,39.880001068115234,1.0,188.2
2004-05-30,88.94999694824219,1120.6800537109375,39.880001068115234,1.0,188.2
2004-05-31,88.94999694824219,1120.6800537109375,39.880001068115234,1.0,188.2
2004-06-01,88.87999725341797,1121.199951171875,42.33000183105469,1.03,188.9
2004-06-02,88.83999633789062,1124.989990234375,39.959999084472656,1.03,188.9
2004-06-03,88.94999694824219,1116.6400146484375,39.279998779296875,1.03,188.9
2004-06-04,88.54000091552734,1122.5,38.4900016784668,1.03,188.9
2004-06-05,88.54000091552734,1122.5,38.4900016784668,1.03,188.9
2004-06-06,88.54000091552734,1122.5,38.4900016784668,1.03,188.9
2004-06-07,88.25,1140.4200439453125,38.65999984741211,1.03,188.9
2004-06-08,88.51000213623047,1142.1800537109375,37.279998779296875,1.03,188.9
2004-06-09,89.7300033569336,1131.3299560546875,37.540000915527344,1.03,188.9
2004-06-10,89.25,1136.469970703125,38.45000076293945,1.03,188.9
2004-06-11,90.01000213623047,1136.469970703125,38.45000076293945,1.03,188.9
2004-06-12,90.01000213623047,1136.469970703125,38.45000076293945,1.03,188.9
2004-06-13,90.01000213623047,1136.469970703125,38.45000076293945,1.03,188.9
2004-06-14,89.94000244140625,1125.2900390625,37.59000015258789,1.03,188.9
2004-06-15,89.08999633789062,1132.010009765625,37.189998626708984,1.03,188.9
2004-06-16,90.04000091552734,1133.56005859375,37.31999969482422,1.03,188.9
2004-06-17,89.5999984741211,1132.050048828125,38.459999084472656,1.03,188.9
2004-06-18,89.08000183105469,1135.02001953125,38.75,1.03,188.9
2004-06-19,89.08000183105469,1135.02001953125,38.75,1.03,188.9
2004-06-20,89.08000183105469,1135.02001953125,38.75,1.03,188.9
2004-06-21,89.29000091552734,1130.300048828125,37.630001068115234,1.03,188.9
2004-06-22,89.43000030517578,1134.4100341796875,38.11000061035156,1.03,188.9
2004-06-23,89.41999816894531,1144.06005859375,37.56999969482422,1.03,188.9
2004-06-24,88.75,1140.6500244140625,37.93000030517578,1.03,188.9
2004-06-25,88.87999725341797,1134.4300537109375,37.54999923706055,1.03,188.9
2004-06-26,88.87999725341797,1134.4300537109375,37.54999923706055,1.03,188.9
2004-06-27,88.87999725341797,1134.4300537109375,37.54999923706055,1.03,188.9
2004-06-28,88.72000122070312,1133.3499755859375,36.2400016784668,1.03,188.9
